airport_code,latitude,longitude
CDG,49.0097,2.5479
LHR,51.4700,-0.4543
JFK,40.6413,-73.7781
DXB,25.2532,55.3657
HND,35.5494,139.7798
FRA,50.0379,8.5622
SIN,1.3644,103.9915
LAX,33.9416,-118.4085
AMS,52.3105,4.7683
MAD,40.4839,-3.5680
IST,41.2753,28.7519
BKK,13.6900,100.7501
SYD,-33.9399,151.1753
GRU,-23.4356,-46.4731
ICN,37.4602,126.4407
DEL,28.5562,77.1000
YYZ,43.6777,-79.6248
SFO,37.6213,-122.3790
MEX,19.4361,-99.0719
EZE,-34.8222,-58.5358
CAI,30.1219,31.4056
MUC,48.3537,11.7861
ZRH,47.4582,8.5555
VIE,48.1103,16.5697
OSL,60.1975,11.1004
ARN,59.6519,17.9186
HEL,60.3172,24.9633
BRU,50.9010,4.4844
DOH,25.2731,51.6081
JNB,-26.1367,28.2411
